Timonel;Tripulante;Pais;Sexo;Club;Categoría;Proa;Vela
RONCHI Nicolas;BONILAURI Luciano;ARG;M;CVSI/CNAs;;79;56305
BÜRG Felix;SILVA ROBINSON Catalina;ARG;M;CNSI;Mixto;12;57442
STABILE Marcos;MICELE Carola;ARG;M;CNSI;Mixto;04;51700
GIBERT Isabel;BIASI Miranda;ARG;F;CUBA/YCA;F;14;57901
GIBERT Sofia;LOPEZ ORIOLO Mia;ARG;F;CUBA;F;08;57444
DONO Joaquin;MAINE Tomas;ARG;M;CVSI;;84;57023
CONSTANTIN Ana;PILIPIS Sol;ARG;F;CUBA;F;75;57293
LÓPEZ ORIOLO Andres;GURINONI Camila;ARG;M;CUBA;Mixto;23;57297
CASTRO MOYA Josefina;SINOPOLI Benjamin;ARG;F;Club de Veleros San Isidro;Mixto;91;54240
CICHOWOLSKI IRIBAS Manuel;BALBUENA Joaquin;ARG;M;CPNLB;;88;57027
PADILLA Nacho;ORELLA Carola;ARG;M;CNSI;Mixto;34;57299
ORELLA Sofia;HANSEN Serena;ARG;F;CNSI;F;29;57029
LANUS OCAMPO Manuel;PILIPIS Santino;ARG;M;CUBA;;07;57292
MAGNANI Juliana;COTS Delfina;ARG;F;YCA;F;20;57447
PANASCI Inés;BIZZOZERO Lucila;ARG;F;yca;F;27;57451
HARIRI Felipe;ZORRAQUIN Facundo;ARG;M;Cnsi/Cuba;;55;57290
PANASCI Juan;FILOGNA Santiago;ARG;M;Cpnlb;;22;57291
LEPORI Beltran;PARINI Celeste;ARG;M;YCA;Mixto;02;57295
LEON Trinidad;LEÓN Trinidad;ARG;F;Cuba;F;60;54839
BARRERA Brandon;BOERI Mateo;ARG;M;CPNLB-CBRIO;;67;54484
COZAR Chop;DE BAGGE Patri;ARG;F;CVB;F;31;54844
BALBUENA Cayetana;BALBUENA Cayetana;ARG;F;CPNLB;F;21;57294
DI MARTINO Mono;LEMOS Alle;ARG;F;CVB;F;49;57448
DURAÑONA Pilar;DURAÑONA Mateo;ARG;F;YCa;Mixto;41;52654
BAMBILL Iñaki;BELLI Gregorio;ARG;M;YCA;;;57022
