Timonel,Club,Vela,Barco,Tripulantes,Pais
LABANDEIRA Julio,CNBdo,256,BRUMA,LOPEZ Javier & VALDORA Mariano,ARG
CHERRO Alejandro,CPNLB,7,Nadine,VINCUGUERRA Fabián & CHERRO Catalina,ARG
MUÑOZ Hernán,Cpnlb,302,Mi Viejo,,ARG
GRASSO Andrés,CPNLB,84,PETERIBI,GONZÁLEZ Matías & PEREYRA Jimena,ARG
RAVAZZI Juan Ignacio,CPNLB,218,Magoo,CAPPAGLI Diego & WEPLER Diego,ARG
RIANCHO Eduardo,CPNLB,89,Lince,DE LOS SANTOS Marcelo,ARG
BEJARANO Jaime,CPNLB,300,Antares,RICOVERI Roberto & PROTA Santiago,ARG
LUTTERAL Gerónimo,CPNLB,268,Rainbow,LUTTERAL Patricio,ARG
TOCCALINO Horacio,YCO,49,Skyway,TOCCALINO Franco & VARNI Juan,ARG
MÖNCH Emilio,C.U.B.A,274,BANANA,NOCETI Pablo & SAMITIER Jorge,ARG
