Timonel;Pais;Sexo;Club;Categoría;Vela
BADORREY Mateo;ARG;M;CRLP;;201304
LENZETTI Grecia;ARG;F;CRLP;F;206705
BRUGO Benjamín Andrés;ARG;M;CRLP;Master;19540
DE VETTORI MONGE Domenico;PER;M;YCA;Master;222128
CLAISSE Felipe;ARG;M;CNSE;;168439
MORENO PANZINO Manuel;ARG;M;CNSI;;1321
VOLCO Camila;ARG;F;CVB;F;4
FERNANDEZ ALONSO Iñaki;ARG;M;CNSI;;1
STUPENENGO Rafi;ARG;F;CUBA;F;192125
DONATO Luca;ARG;M;CRLP;;195396
CASTEX Catalina;ARG;F;Cuba;F;34
LUEG Thiago;ARG;M;Cnsi;;207305
GALLI KLUGE Valentina;ARG;F;CVB;F;209400
ROMERO Lucia;ARG;F;CUBA;F;10
TESONE Delfina;ARG;F;CUBA;F;212
BENVENUTO Josefina;ARG;F;YCO;F;3
BENVENUTO Tomás;ARG;M;YCO;;150956
POGGIO Santiago;ARG;M;CUBA;U14;188761
ADEIL PIETRANERA Santiago;ARG;M;YCO;;184274
WENZEL Valentino;ARG;M;CRLP;;182312
SARAVÍ Santiago;ARG;M;CRLP;;52
