Timonel;Pais;Sexo;Club;Categoría;Vela
MARCONE Malena Delfina;ARG;F;YCA;F;3787
HITA Francisco;ARG;M;yca;;3706
PERUZZI Bautista;ARG;M;CVB;;3732
OUVIÑA Lucía;ARG;F;CRLP;F, S12;3591
OUVIÑA Guillermina;ARG;F;CRLP;F;3061
SORZANA Juana;ARG;F;CNSI;F;4262
BADINO Juan Ignacio;ARG;M;CNZ;;3928
CLAVIJO Felix;ARG;M;Cnsi;;4075
HENNING Ramiro;ARG;M;YCA;Interior;4119
CUEVAS HERMIDA Benicio Isidro;ARG;M;CNSI;Interior;4277
GARCIA Santiago Nicolas;ARG;M;CNAs;;4120
MICELE Candelaria;ARG;F;Cnsi;F;3758
GALVAN Jose Ignacio;ARG;M;Crlp;Interior;3402
JENSEN Tania Maitén;ARG;F;CRLP;F;3542
JORDANA Vicente;ARG;M;YCA;;3310
NAPOLI FABRICIUS Gianmarco Federico;ARG;M;YCO;Interior;22445
BENITEZ Eva;ARG;F;CRLP;F, Interior;3392
ZARDINI Carolina;ARG;F;YCO;F, Interior;4230
FRANCESCA Zardini;ARG;F;YCO;F, Interior;4273
ALFONSO GUARDATI Camila;ARG;F;YCO;F;3817
DI MASCIO Thiago;ARG;M;YCO;;3932
SANTORSOLA Matilda;ARG;F;CNZ;F;3834
MARTÍNEZ POMPILIO Pedro Salvador;ARG;M;CNV;Interior;3658
LIBERMAN Sofia Julieta;ARG;F;CNV;F;3705
IRIARTE LARENAS Camila;ARG;F;CRLP;F, Interior;3885
IRIARTE LARENAS Joaquín;ARG;M;CRLP;Interior;3286
IRIARTE LARENAS Luz;ARG;F;CRLP;F, Interior;2550
DUFFARD Renata;ARG;F;CRLP;F;3553
FERNANDEZ Manuel;ARG;M;YCA;;3140
TOSO Amancio;ARG;M;CNSI;Interior;4044
LACCHINI Delfi;ARG;F;CRLP;F;3781
STABILE Julia;ARG;F;CNSI;F;354
ELORRIAGA Homero;ARG;M;CNZ;Interior;3727
CARISSIMI Olivia;ARG;F;CNSI;F;4039
CORRAL Pipe;ARG;M;CRLP;Interior;2640
LIPANI Battista;ARG;M;CNAs;Interior;3879
PEREZ BONADONNA Maite;ARG;F;CNSI;F;3947
ARCEMIS Polo;ARG;M;CRLP;Interior;3637
RONCHI Benjamin;ARG;M;CPNLB;;3820
SALGADO CALANDRELLI Facundo;ARG;M;CNAs;;3818
MUL Nina;ARG;F;CNZ;F;4797
SUÁREZ VÁZQUEZ Rocío;ARG;F;YCA;F;4256
GONZALEZ MONTALVO Bahía;ARG;F;Club náutico san isidro;F, Interior;3691
MERLO CALDERÓN Santiago;ARG;M;CRLP;;3590
FARBER Julia;ARG;F;CNAs;F, Interior;3927
KUNDIG Agustin;ARG;M;YCA;;375
SFOGGIA NUÑO Facundo Tomas;ARG;M;CPNLB;Interior;4361
SICARDI Juana;ARG;F;YCA;F;3995
TEDIN Jerónimo;ARG;M;CNSI;;3138
MOLINARI Santiago;ARG;M;YCCN;Interior;3998
WOLOJ Emilia;ARG;F;CVB;F;4088
JOSA Valentin;ARG;M;CPNLB;;3990
GARCIA DELATOUR Benjamin;ARG;M;Cuba;Interior;4184
HOFER Gaspar;ARG;M;CRLP;Interior;3350
GARCIA DELATOUR Catalina;ARG;F;Cuba;F, Interior;3771
JOCHOIAN Santiago;ARG;M;CNAs;;4199
ETCHEGOYEN Pedro;ARG;M;CUBA;;3842
CHAPARRO FRESCO Francisco Nahuel;ARG;M;CRLP;Interior;3978
GARCIA LABORDE Fati;ARG;F;CNSI;F;4100
CASTIGLIONI Rosario;ARG;F;CNSI;F;3475
HUANAY MEZA Mia Milagros;ARG;F;Yco;F;4109
BERMUDEZ FIORITI Toribio;ARG;M;CPNLB;;4070
LUEG Franz;ARG;M;CNSI;S12;4172
BRADLEY Rufina;ARG;F;CNSI;F;3799
FRERS Clara;ARG;F;YCA;F;3736
BAZÁN Gerónimo;ARG;M;CUBA;;049
MELÉNDEZ PERUZZI Santiago;ARG;M;CVB;Interior;2870
VON ECKENBRECHER GOULD Joaquin;ARG;M;Cpnlb;Interior;3992
SUAR VOLCO Justina;ARG;F;CVB;F;4066
SUAR VOLCO Joaquín;ARG;M;CVB;;4291
CAVIGLIA Catalina;ARG;F;CNSI;F;3631
GOITEA Axel;ARG;M;CPNLB-CBRIO;;3287
BRUNO Ambar;ARG;F;CPNLB-CBRIO;F;313
PARADISO Felicitas;ARG;F;YCCN;F;7155
TORINO Sol;ARG;F;CVB;F, Interior;3968
TASIN Giovanna Isabella;ARG;F;YCCN;F;4031
REYNOSO Sofía Victoria;ARG;F;CNZ;F, Interior;3826
DOVAL Chloe;ARG;F;Yca;F;3870
FOSSATTI Sofia Guillermina;ARG;F;CVB;F;3775
MAESO Félix;ARG;M;CUBA;;3754
VILLAMIL Pedro;ARG;M;Cpnlb;Interior;3847
OLIVER Eva;ARG;F;CVB;F, Interior;3835
GRETHER Alexia Sophia;ARG;F;YCA;F;3785
CANO RICCIARDI Vera;ARG;F;CPNLB;F;3640
BICOCCA Julieta;ARG;F;CPNLB;F;371
BICOCCA Franco;ARG;M;CPNLB;;3994
DI FEO Bianca;ARG;F;CPNLB;F, Interior;4283
ADEIL PIETRANERA Juan;ARG;M;YCO;Interior;3647
RUIZ STEPANCIC Lucia;ARG;F;CVB;F;3596
PARRELLA Francisco;ARG;M;YCCN;Interior;3490
DAVENIA Santiago;ARG;M;CVB;;4015
DAVENIA Delfina;ARG;F;CVB;F;4101
SOLÍS Justina;ARG;F;CRLP;F, Interior;3297
AZULA ZANOU Agustin;ARG;M;CNZ;;2559
GASCON DESCHAMPS Nina;ARG;F;CRLP;F, Interior;3581
