Timonel;Pais;Sexo;Club;Categoría;Vela
MARCONE Andres Benjamin;ARG;M;YCA;;4224
PANASCI Agustin;ARG;M;YCA;;4195
ROSSI GALIZZI Augusto;ARG;M;YCA;Interior;4029
JAIMOVICH LANDEO Thaya;ARG;F;YCO;F;3675
MUZZIO Ambar;ARG;F;CPNLB;F;4162
OJEDA LOIS Ignacio;ARG;M;YCCN;;4076
BRUNETTA Olivia;ARG;F;CNSI;F;4238
MORENO CANTILLANA Carlota;ARG;F;YCCN;F;4090
MAINERO Federico;ARG;M;YCCN;;4243
CASTILLA Rufino;ARG;M;CNSI;;3925
MERCERAT Bernarda;ARG;F;CRLP;F;3827
MERCERAT Carmela;ARG;F;CRLP;F;2695
DELEO Clara;ARG;F;CRLP;F;4160
LUZURIAGA Lorenzo Agustín;ARG;M;CUBA;;3749
IACOVONE Martín;ARG;M;CNZ;Interior;4067
MERCERAT Magdalena;ARG;F;CRLP;F;3888
GASCON DESCHAMPS Bruna;ARG;F;CRLP;F;3529
BIASI Azul;ARG;F;YCA;F;4048
BIASI Ana Camelia;ARG;F;YCA;F;404
LENZETTI Emma;ARG;F;CRLP;F;4193
PASQUALE CORONEL Luca;ARG;M;CNZ;Interior;4170
ARCURI Chiara;ARG;F;YCA;F;4226
ARCURI Lucia;ARG;F;Yca;F;3614
VAZQUEZ DEL CAMPO Fermin;ARG;M;CNSI;;4061
GHERGHI Lara;ARG;F;YCO;F;4245
LARGHI Genaro;ARG;M;YCO;;4364
ZARDINI Fernando;ARG;M;YCO;Interior;3554
ALFONSO GUARDATI Santiago;ARG;M;YCO;;3817
TRAVERÍA Isabel;ARG;F;CRLP;F, Interior;3903
LAISE Tiziano;ARG;M;YCA;;3946
CERVIÑO Agustín Alejandro;ARG;M;CNAs.(Club náutico albatros);;3532
LACCHINI Fausto;ARG;M;CRLP;;4263
ROS MOLINA Milo;ARG;M;CNSE / CNZ;Interior;4106
STABILE Santos;ARG;M;CNSI;;4267
ELORRIAGA Felipe;ARG;M;CNZ;Interior;4241
CALABRESE Mora;ARG;F;YCA;F;420
CHAVARRIA Valentin;ARG;M;CNZ;Interior;4268
CORRAL Isa;ARG;F;CRLP;F, Interior;3433
PAOLI Tomas;ARG;M;CNSI;;4013
KRENEK Francisco;ARG;M;YCO;;4049
PAOLI Santiago;ARG;M;Cnsi;;4082
CALABRESE Francisco;ARG;M;YCA;;4201
ANTONI Manuel;ARG;M;CUBA;;4191
MIREY Juan Francisco;ARG;M;CNZ;;4001
FUHRMANN Renata;ARG;F;CNAs;F;4356
LEZANA Helena;ARG;F;CNZ;F;3819
VELEZ Agustina;ARG;F;CNZ;F, Interior;4249
GUILLE Sofía;ARG;F;CNZ;F;4064
GUILLE Mateo;ARG;M;CNZ;;4350
FERREYRA Valentina;ARG;F;CNZ;F;4292
LUCERO Martín;ARG;M;Cuba;Interior;3771
COZAR GIULIANI Paloma;ARG;F;CNAs;F;4261
VUGDELIJA Emilia;ARG;F;CUBA;F;4190
VUGDELIJA Sofía;ARG;F;CUBA;F;3872
KUNDIG Santiago;ARG;M;YCA;;3976
KUNDIG Facundo;ARG;M;YCA;;4028
MUL Martin;ARG;M;CNZ;;2865
PINEDO CHIAPPA Martiniano;ARG;M;CRLP;;3070
JUAN DE PAZ Ciro;ARG;M;CNZ;;4053
BARRIONUEVO Jeronimo;ARG;M;CRLP;Interior;3453
PEREIRO Bautista;ARG;M;Cuba;;4188
LOPEZ ORIOLO Paz;ARG;F;CUBA;F;3887
BLANCO Simona;ARG;F;CRLP;F;2972
LOZANO Pilar;ARG;F;CRLP;F;3578
SALVATIERRA Luca;ARG;M;CPNLB;;4054
ATANASOPULOS Juan;ARG;M;CPNLB;;4169
DONOFRIO FREYTES Janko;ARG;M;YCCN;;4192
FOLGUERA Silvio;ARG;M;CPNLB;;4197
SILVA ROBINSON Marcos;ARG;M;CNSI;;4034
BECERRA Delfina;ARG;F;CNSI;F;4171
ELKAYAM Elian;ARG;M;CNAs;;4052
ELKAYAM Gael;ARG;M;CNAs;;4183
JOSA Santiago;ARG;M;CPNLB;;3693
HEREDIA Marcos;ARG;M;YCCN;;4060
ZABALA Rodrigo;ARG;M;CUBA;;3895
COZAR Sofia;ARG;F;Albatros;F;4296
BIELER Tizziano Valentino;ARG;M;Yco;Interior;3989
CICHOWOLSKI Santiago;ARG;M;CPNLB;;4359
AMESPIL Marcos;ARG;M;CUBA;Interior;4276
GARCIA LABORDE Cami;ARG;F;CNSI;F;4363
