Timonel,Club,Vela,Barco,Tripulantes,Pais
CALEGARI Federico,CNO,8239,Gerardo Tenia Razon,CARISSIMI Lucas,ARG
ALTOLAGUIRRE Leandro,CVR - RRC,8468,,ALTOLAGUIRRE Lucas,ARG
PERCOSSI Juan Pablo,CNO,8551,Little Italo,CAIVANO Felipe,ARG
SCARPATI Fabio,CNO/CNGSM,8061,ES DE ELLA,OTADO Silvina,ARG
MAC GOWAN Fabián,CNO,8505,Sar express,ROSAS Nicolás,ARG
LONGARELA Héctor,YCO,8156,La Reina,LONGARELA Hugo,ARG
DOVAL Santiago,Yca,8285,,MONES RUIZ Lucas,ARG
DELLA TORRE Gerardo,Club Náutico Buchardo,8283,Sexagenario,BERGER Jürgen Julio Felipe,ARG
ZANETTI Alberto,CNO,8498,Ocho seis,GAZARI BARROSO Julián B,ARG
PEISAJOVICH Diego,CNO/YCA,8583,T Verde,OSO Fernando,ARG
BERDES Gonzalo,YCO,7736,Pugliese,RONCHI Santino,ARG
MONES RUIZ Hernán,Nautico olivos,8500,Max power,MONES RUIZ Joaquina,ARG
LOCATELLI Juan Martín,Cno,7907,Charly,ICONOMOPULOS Gustavo,ARG
MONES Erich,CNO,8008,Na,GASARI Julián,ARG
CAMBON Mariano,CNO,8251,,COSTA Martín,ARG
FERRERO Martín P.,CNO-CNSI,7700,ONLYCASH,SIRO Javier,ARG
CAFARO Nicolás,CNO,8278,DUEÑO VENDE,GONZÁLEZ OTHARÁN Santiago,ARG
FIORITI Tomás,Cno,505,Topo,PERCOSSI Nico,ARG
