Timonel,Club,Vela,Barco,Tripulantes,Pais
DINIZ Felipe,YCA,1192,Chispita,ARANGUREN Iván & ARROYO Martín & JACOBS Fermín & ROMERO Agustín,ARG
QUEIREL Juan Ignacio,YCA,1189,Whisky,VAN AVERMAETE Guido & PALKIN Santiago & LOBELOS Julián & JASSON Eugenia,ARG
AUTHIER Roberto L.,YCA,1188,Manuto,,ARG
PENDOLA Sergio,CNO,1199,Cacique,SANTANGELO Matías & FREGONESE Juan Pablo & CRISTIANO Agustín,ARG
VIOLA Raúl Julio,CNSI,1193,Pantera,BAQUERIZAS Guillermo & SANTAMBROGIO Eduardo & SANTAMBROGIO Eduardo,ARG
VIDELA Sofía,YCA,1295,PAINKILLER,COSENTINO Ramiro & ALBAMONTE Juan & FITTE Tomás & BARLETTA Martín,ARG
VALLARINO Guillermo,CNO,1434,ecto-1,VALLARINO Gustavo & PARRA Eduardo & HOFFER Ignacio,ARG
VAN AVERMAETE Francisco,YCA-CRLP-CNMP,1020,Si Querida!,LACCHINI Carlos & GALVÁN Gero & VAN AVERMAETE Leo,ARG
SÁNCHEZ Federico,YCA,1433,Spinetta,IGUERATEGUI Fernando & DE BARRIO Guillermo & BERTOLINI Ignacio,ARG
SESSAREGO Alejandro,CNSE / CVSI,1297,MACARENA,BARONE Carlos & AFONSO Esteban & JORDANA Martín,ARG
DAGNINO Oscar,YCO,1552,Project,GIANNAVOLA Pablo & GIANNAVOLA Luciano & DAGNINO Anabella & PIÑEYRO Pablo,ARG
LEPORI Guido,YCA CNSI,1194,Shark,ZAPATA Germán & RIVI Mariano & BIANCHI Agustín,ARG
PEREIRA Matías,CNO,1657,BLUE,HOMPS Emiliano & COZAR Patricio & CASSANELLO Fernando,ARG
FIGUEROA Juan Diego,CNO,1441,HOMERO,MARINO Gabriel & GIAMONNA Nacho & PEREYRA Juani,ARG
SALINAS Gabriel,CNSE,1201,Invictus,MONTALBANO María Victoria & CERVI Dante & CERVI Antonia & SALINAS Nicolás,ARG
